id_cliente,edad,ingreso_mensual,default,monto_credito_solicitado,antiguedad_laboral_meses,relacion_deuda_ingreso,num_moras_historicas,nombre,score_interno,tipo_contrato,ciudad,fecha_desembolso,genero
CLI-00378,18.0,,0,5530000.0,57.0,,2,Felipe Garcia,607.0,indefinido,Itagui,09-Jan-2024,Femenino
CLI-00139,60.0,2649000.0,0,2950000.0,11.0,0.353,2,Ana Gomez,611.0,Prestacion de servicios,Itagui,2022/02/08,m
CLI-00102,52.0,1485000.0,0,4190000.0,52.0,0.362,3,Carlos Castro,628.0,N/A,Bogota,2021-10-23,f
CLI-00462,29.0,2117000.0,0,11050000.0,,0.31,0,Jorge Martinez,669.0,Indefinido,Pereira,2024-09-10,M
CLI-00233,41.0,"2,609,000",0,5970000.0,14.0,0.337,0,Isabella Lopez,656.0,N/A,Cali,10-Nov-2022,Femenino
CLI-00315,47.0,1448000.0,0,6.690.000,22.0,0.413,0,Felipe Lopez,344.0,Fijo,bogota,08/07/2023,
CLI-00361,,1213000.0,0,2760000.0,10.0,0.19,1,Natalia Munoz,570.0,N/A,bogota,20/11/2023,
CLI-00156,57.0,2326000.0,0,4000000.0,114.0,0.531,2,Felipe Munoz,488.0,Independiente,Medellin,30/03/2022,F
CLI-00369,40.0,1480000.0,0,6170000.0,46.0,0.3,0,Jorge Munoz,566.0,fijo,medellin,2023/12/13,f
CLI-00329,25.0,3639000.0,1,2810000.0,5.0,0.375,1,Jorge Torres,795.0,Fijo,medellin,2023/08/18,m
CLI-00292,40.0,1061000.0,0,3120000.0,44.0,0.232,2,Juan Martinez,551.0,Prestacion de servicios,Cali,2023-05-02,f
CLI-00427,47.0,1821000.0,0,2660000.0,106.0,0.43,0,Sofia Ortiz,760.0,fijo,,2024-05-31,m
CLI-00254,27.0,"5,523,000",0,3660000.0,16.0,0.282,0,  CAMILA LOPEZ  ,773.0,,Cali,2023/01/11,Masculino
CLI-00379,56.0,1883000.0,0,7380000.0,81.0,,0,Andres Gonzalez,415.0,Independiente,Bogota,2024/01/11,Masculino
CLI-00360,36.0,2767000.0,0,2850000.0,103.0,0.341,1,Paula Castro,652.0,Prestacion de servicios,Bogota,17/11/2023,m
CLI-00116,32.0,1044000.0,0,10.370.000,0.0,0.393,1,Camila Rodriguez,481.0,indefinido,bogota,03/12/2021,Masculino
CLI-00467,35.0,1745000.0,0,10270000.0,9.0,0.379,0,Paula Castro,640.0,Prestacion de servicios,Envigado,2024-09-25,Masculino
CLI-00052,45.0,2619000.0,0,2010000.0,25.0,0.207,0,Santiago Hernandez,670.0,fijo,Envigado,2021-05-30,f
CLI-00272,41.0,,0,2210000.0,62.0,0.246,1,Diego Gomez,713.0,,,2023-03-04,
CLI-00497,,2909000.0,0,8150000.0,34.0,0.325,1,Ana Diaz,,Fijo,Pereira,2024-12-22,m
CLI-00265,43.0,2351000.0,0,1780000.0,8.0,0.495,2,Maria Rodriguez,479.0,Independiente,Bucaramanga,12/02/2023,
CLI-00061,19.0,1914000.0,0,4900000.0,10.0,0.498,2,Paula Diaz,382.0,indefinido,CALI,25/06/2021,M
CLI-00264,32.0,2726000.0,0,4770000.0,51.0,,0,David Martinez,314.0,,Cali,2023/02/09,
CLI-00165,47.0,1904000.0,0,7230000.0,18.0,0.647,2,Andres Gomez,634.0,N/A,Medellin,25/04/2022,Femenino
CLI-00205,18.0,3350000.0,0,2810000.0,25.0,0.233,0,Ana Munoz,646.0,Prestacion de servicios,Bogota,20/08/2022,Femenino
CLI-00423,31.0,2105000.0,0,1780000.0,,,0,Miguel Ramirez,633.0,Independiente,Itagui,19-May-2024,
CLI-00133,45.0,1619000.0,0,1630000.0,15.0,0.449,1,Sofia Lopez,525.0,Indefinido,Cali,22-Jan-2022,M
CLI-00452,42.0,2485000.0,0,3470000.0,,0.283,0,Juan Rodriguez,498.0,Fijo,Envigado,2024-08-12,m
CLI-00213,38.0,1182000.0,0,7850000.0,3.0,0.043,0,Diego Diaz,438.0,Fijo,CALI,13-Sep-2022,M
CLI-00083,34.0,1712000.0,0,5010000.0,106.0,0.174,0,Juan Vargas,652.0,Independiente,CALI,28-Aug-2021,f
CLI-00443,42.0,2534000.0,0,4540000.0,36.0,0.593,1,Diego Diaz,580.0,,medellin,17-Jul-2024,
CLI-00356,41.0,1997000,0,6000000.0,5.0,0.224,2,Daniela Gomez,543.0,Prestacion de servicios,CALI,05/11/2023,M
CLI-00239,26.0,882000.0,1,2510000.0,9.0,0.109,1,Camila Ortiz,465.0,Prestacion de servicios,Bucaramanga,2022/11/28,
CLI-00169,36.0,,0,1.620.000,22.0,0.163,0,Maria Torres,825.0,Prestacion de servicios,Envigado,2022/05/07,m
CLI-00301,57.0,1299000.0,0,4710000.0,103.0,0.65,0,Carlos Martinez,775.0,N/A,MEDELLIN,28/05/2023,F
CLI-00031,62.0,1655000.0,0,4600000.0,43.0,0.073,2,Isabella Torres,806.0,Prestacion de servicios,medellin,29/03/2021,Masculino
CLI-00023,51.0,3867000.0,0,13330000.0,22.0,0.183,0,Isabella Torres,619.0,Independiente,Barranquilla,06-Mar-2021,F
CLI-00262,35.0,2724000.0,0,11110000.0,70.0,0.1,1,Juan Rodriguez,713.0,Fijo,Bogota,2023-02-03,Masculino
CLI-00032,34.0,1239000.0,0,3750000.0,45.0,0.084,1,Andres Vargas,519.0,Fijo,Envigado,2021-04-01,Masculino
CLI-00363,49.0,1926000.0,0,2110000.0,100.0,0.209,0,Camila Martinez,620.0,Indefinido,,26-Nov-2023,M
CLI-00053,22.0,2300000 COP,0,2270000.0,31.0,0.162,0,Diego Rodriguez,592.0,Independiente,Itagui,02-Jun-2021,m
CLI-00483,39.0,2224000.0,0,4210000.0,10.0,0.312,1,Daniela Rodriguez,715.0,Independiente,Cali,11-Nov-2024,Femenino
CLI-00322,36.0,4069000.0,0,5120000.0,23.0,0.273,1,Maria Diaz,647.0,Fijo,Medellin,2023-07-29,Masculino
CLI-00245,61.0,2083000.0,0,11.140.000,56.0,0.716,0,Sofia Castro,628.0,Indefinido,Cali,15/12/2022,M
CLI-00238,36.0,2968000.0,0,6820000.0,14.0,0.45,1,Luis Munoz,732.0,,Pereira,25-Nov-2022,Femenino
CLI-00057,35.0,1360000.0,1,6190000.0,72.0,0.303,0,Daniela Hernandez,663.0,Fijo,Pereira,2021-06-13,F
CLI-00365,37.0,1402000.0,0,6190000.0,90.0,0.308,1,Juan Hernandez,672.0,N/A,,02/12/2023,F
CLI-00003,46.0,,0,1460000.0,13.0,0.491,1,Camila Perez,761.0,fijo,medellin,06-Jan-2021,Masculino
CLI-00059,28.0,1064000.0,1,4050000.0,34.0,0.261,1,Diego Perez,551.0,indefinido,Itagui,2021/06/19,M
CLI-00370,47.0,1937000.0,0,9370000.0,13.0,0.435,0,Luis Torres,655.0,Independiente,Medellin,16/12/2023,m
CLI-00432,43.0,,1,1080000.0,11.0,0.426,0,Jorge Lopez,700.0,N/A,medellin,2024-06-15,
CLI-00342,41.0,,0,5980000.0,108.0,,1,Santiago Munoz,668.0,Fijo,medellin,2023-09-25,Masculino
CLI-00294,18.0,2411000.0,0,1260000.0,18.0,0.319,0,Sofia Castro,572.0,Fijo,Medellin,2023/05/08,F
CLI-00075,40.0,2180000.0,0,980000.0,10.0,0.362,0,Diego Diaz,604.0,N/A,Cali,05/08/2021,Masculino
CLI-00325,58.0,782000.0,0,4560000.0,,0.065,0,Luis Castro,918.0,Indefinido,,06/08/2023,F
CLI-00304,34.0,2397000.0,0,3030000.0,39.0,,2,Carlos Ortiz,666.0,Independiente,Medellin,2023/06/06,Femenino
CLI-00415,35.0,3248000.0,0,2810000.0,158.0,0.261,0,Miguel Ramirez,944.0,Prestacion de servicios,Bogota,26/04/2024,
CLI-00410,24.0,1158000.0,0,7390000.0,128.0,0.299,0,Ana Castro,601.0,Indefinido,Itagui,11/04/2024,f
CLI-00081,43.0,594000.0,1,3600000.0,58.0,0.329,1,Valentina Hernandez,605.0,N/A,Cali,23/08/2021,Masculino
CLI-00307,34.0,1856000.0,0,5340000.0,36.0,0.279,1,Andres Perez,837.0,indefinido,Bucaramanga,2023-06-15,m
CLI-00027,44.0,4104000.0,0,2280000.0,40.0,0.299,1,Ana Munoz,571.0,Independiente,Cali,2021-03-18,f
CLI-00306,26.0,3437000.0,1,6990000.0,13.0,0.606,1,Valentina Lopez,663.0,Fijo,Itagui,12/06/2023,f
CLI-00463,21.0,1201000.0,0,1790000.0,146.0,0.404,0,  VALENTINA MARTINEZ  ,573.0,Independiente,Barranquilla,13-Sep-2024,F
CLI-00121,27.0,1591000.0,0,4360000.0,37.0,0.096,3,Carlos Vargas,561.0,indefinido,,18/12/2021,m
CLI-00348,44.0,3035000.0,0,1730000.0,16.0,0.823,1,Sofia Hernandez,801.0,indefinido,Envigado,13-Oct-2023,Femenino
CLI-00460,38.0,2431000.0,0,3320000.0,9.0,0.293,0,Paula Garcia,564.0,Prestacion de servicios,Pereira,04/09/2024,Femenino
CLI-00160,25.0,1686000.0,0,1530000.0,35.0,,1,Jorge Martinez,501.0,indefinido,Bucaramanga,11/04/2022,Masculino
CLI-00390,22.0,846000.0,0,7590000.0,17.0,0.218,2,Andres Ortiz,658.0,,Medellin,13/02/2024,Masculino
CLI-00051,41.0,2404000.0,0,2450000.0,68.0,0.039,0,Maria Castro,677.0,Fijo,Cali,27/05/2021,m
CLI-00430,42.0,2059000.0,0,4.230.000,5.0,0.271,2,Camila Ortiz,653.0,indefinido,Bucaramanga,09/06/2024,Femenino
CLI-00295,35.0,812000.0,0,5320000.0,24.0,0.118,0,David Torres,772.0,Independiente,MEDELLIN,11/05/2023,m
CLI-00015,,2944000 COP,0,8200000.0,14.0,0.01,2,Juan Castro,662.0,N/A,bogota,10/02/2021,m
CLI-00419,,3920000.0,0,1.420.000,3.0,0.028,0,Sofia Garcia,492.0,Fijo,Bucaramanga,2024/05/08,F
CLI-00448,34.0,458000.0,0,2810000.0,77.0,0.671,0,Paula Castro,402.0,Independiente,Pereira,31-Jul-2024,
CLI-00115,39.0,1325000.0,0,980000.0,7.0,0.198,0,Ana Lopez,823.0,,Medellin,30/11/2021,m
CLI-00146,33.0,1847000.0,0,1390000.0,45.0,12.4,1,Laura Martinez,540.0,N/A,Barranquilla,01/03/2022,F
CLI-00004,48.0,935000.0,0,4530000.0,5.0,0.086,1,Ana Ramirez,580.0,Independiente,,2021/01/09,Masculino
CLI-00385,20.0,1148000.0,1,1570000.0,134.0,0.6,0,Paula Gomez,614.0,fijo,medellin,29/01/2024,Femenino
CLI-00060,49.0,1271000.0,0,3500000.0,64.0,0.422,0,Camila Vargas,465.0,Prestacion de servicios,MEDELLIN,22/06/2021,m
CLI-00397,46.0,1414000.0,0,3010000.0,11.0,0.628,0,Isabella Perez,337.0,Fijo,CALI,2024-03-04,Femenino
CLI-00166,28.0,845000.0,0,4970000.0,17.0,0.317,1,David Vargas,620.0,Indefinido,Barranquilla,28/04/2022,f
CLI-00223,40.0,,0,2930000.0,30.0,0.319,1,Juan Rodriguez,481.0,Prestacion de servicios,Envigado,12-Oct-2022,
CLI-00099,42.0,2237000.0,0,4750000.0,9.0,0.697,1,David Rodriguez,639.0,indefinido,MEDELLIN,2021/10/14,
CLI-00470,27.0,2017000.0,0,2850000.0,26.0,0.398,0,Daniela Martinez,519.0,Prestacion de servicios,Envigado,04/10/2024,M
CLI-00041,46.0,853000.0,0,2820000.0,31.0,0.408,1,Andres Ramirez,707.0,Prestacion de servicios,Medellin,28/04/2021,Femenino
CLI-00250,25.0,1269000.0,0,2500000.0,51.0,0.341,1,Daniela Lopez,527.0,indefinido,Medellin,30/12/2022,Femenino
CLI-00042,44.0,"1,312,000",0,3210000.0,28.0,0.688,2,Diego Vargas,893.0,,bogota,2021-04-30,m
CLI-00396,40.0,3351000.0,0,4360000.0,36.0,0.262,0,Diego Castro,607.0,fijo,Pereira,01/03/2024,m
CLI-00194,54.0,643000.0,0,12510000.0,9.0,0.435,0,Andres Diaz,,Independiente,Pereira,2022/07/19,F
CLI-00207,29.0,1258000.0,0,5.740.000,168.0,0.539,0,,597.0,Independiente,Barranquilla,2022-08-26,m
CLI-00080,35.0,2378000.0,0,1710000.0,24.0,0.351,2,Santiago Rodriguez,691.0,Prestacion de servicios,Envigado,20/08/2021,m
CLI-00029,43.0,2256000.0,0,3410000.0,57.0,0.372,0,Paula Martinez,731.0,,Bogota,2021/03/23,M
CLI-00492,42.0,4154000.0,0,4640000.0,7.0,0.318,1,David Ramirez,696.0,fijo,bogota,2024-12-07,
CLI-00500,22.0,2993000.0,0,11600000.0,50.0,0.101,1,Natalia Lopez,790.0,Independiente,Barranquilla,31/12/2024,
CLI-00246,24.0,3158000.0,1,15.570.000,29.0,0.166,1,Camila Martinez,610.0,Fijo,Envigado,18/12/2022,Masculino
CLI-00368,29.0,1618000.0,0,1510000.0,67.0,0.324,0,Laura Ortiz,623.0,N/A,Cali,10-Dec-2023,Masculino
CLI-00058,54.0,1183000.0,1,1540000.0,34.0,0.016,0,Jorge Perez,581.0,Fijo,Itagui,16-Jun-2021,f
CLI-00498,34.0,2107000.0,0,5810000.0,1.0,,0,Sofia Torres,553.0,N/A,Bucaramanga,25-Dec-2024,Masculino
CLI-00063,40.0,2034000.0,0,1670000.0,123.0,0.539,1,David Hernandez,682.0,Independiente,medellin,01-Jul-2021,
CLI-00382,52.0,3185000.0,0,1100000.0,1.0,0.518,0,Sofia Martinez,666.0,indefinido,Envigado,2024-01-20,F
CLI-00112,41.0,2230000.0,1,8080000.0,4.0,0.699,0,Valentina Hernandez,586.0,,MEDELLIN,2021-11-21,M
CLI-00085,25.0,2834000.0,0,4840000.0,7.0,0.418,2,Laura Diaz,703.0,N/A,Bogota,03/09/2021,Masculino
CLI-00341,18.0,5140000.0,0,3340000.0,7.0,0.451,1,Diego Garcia,672.0,indefinido,Bucaramanga,22/09/2023,F
CLI-00201,42.0,3459000.0,0,5870000.0,19.0,0.413,1,Paula Vargas,,Prestacion de servicios,Envigado,09/08/2022,
CLI-00147,31.0,,0,6270000.0,41.0,0.398,0,Jorge Lopez,693.0,indefinido,,2022-03-04,Femenino
CLI-00189,23.0,1576000.0,1,2030000.0,5.0,0.33,2,Santiago Munoz,,Prestacion de servicios,Pereira,2022/07/05,Femenino
CLI-00130,28.0,593000.0,0,5400000.0,62.0,0.072,0,David Torres,551.0,N/A,,13/01/2022,m
CLI-00327,21.0,2014000.0,0,9690000.0,32.0,0.152,0,Miguel Diaz,694.0,Fijo,Medellin,2023-08-12,F
CLI-00097,23.0,1528000.0,0,3500000.0,19.0,0.368,1,Valentina Lopez,508.0,indefinido,Cali,2021-10-08,M
CLI-00217,999.0,907000.0,0,4170000.0,69.0,0.424,1,Diego Gomez,833.0,Prestacion de servicios,CALI,2022-09-24,Masculino
CLI-00259,37.0,2730000.0,0,3050000.0,68.0,0.601,0,Diego Garcia,698.0,Independiente,MEDELLIN,2023/01/25,m
CLI-00472,34.0,1880000.0,0,3430000.0,82.0,0.255,1,Miguel Torres,635.0,Indefinido,MEDELLIN,2024-10-10,f
CLI-00142,27.0,2813000.0,0,3170000.0,0.0,,2,Ana Lopez,501.0,indefinido,medellin,2022-02-17,
CLI-00457,50.0,1557000.0,0,3080000.0,7.0,0.16,1,Daniela Diaz,657.0,Prestacion de servicios,Barranquilla,2024-08-27,Masculino
CLI-00221,36.0,1890000.0,0,3510000.0,40.0,0.37,0,Jorge Diaz,478.0,,Cali,06/10/2022,m
CLI-00320,25.0,1122000.0,0,4130000.0,14.0,0.353,1,  LAURA CASTRO  ,412.0,Independiente,Pereira,23/07/2023,m
CLI-00163,61.0,1263000.0,0,3480000.0,3.0,12.4,0,Daniela Perez,611.0,Indefinido,Envigado,19-Apr-2022,M
CLI-00218,53.0,2794000.0,0,4080000.0,55.0,0.455,0,Juan Garcia,-50,indefinido,Cali,27-Sep-2022,M
CLI-00317,39.0,1622000.0,0,2360000.0,2.0,0.695,0,Juan Munoz,607.0,indefinido,Cali,2023-07-14,Masculino
CLI-00240,32.0,645000.0,0,2750000.0,72.0,0.466,1,Laura Castro,596.0,Indefinido,Bucaramanga,01/12/2022,f
CLI-00244,22.0,782000.0,0,5820000.0,12.0,0.406,1,Santiago Castro,434.0,Fijo,CALI,2022/12/12,
CLI-00082,31.0,1112000.0,0,2580000.0,,0.542,1,Laura Gonzalez,678.0,fijo,Medellin,2021-08-25,Femenino
CLI-00490,45.0,1558000.0,0,2680000.0,21.0,0.176,1,Carlos Hernandez,624.0,Indefinido,Medellin,01/12/2024,F
CLI-00474,40.0,2699000 COP,0,3360000.0,18.0,0.557,0,Andres Martinez,609.0,Fijo,medellin,2024/10/15,f
CLI-00188,25.0,4194000.0,0,4510000.0,3.0,0.073,1,Valentina Gonzalez,559.0,Indefinido,CALI,02-Jul-2022,M
CLI-00428,57.0,2439000.0,0,2470000.0,35.0,0.517,1,David Martinez,616.0,Independiente,MEDELLIN,03-Jun-2024,Masculino
CLI-00268,42.0,1501000.0,0,9600000.0,7.0,0.492,1,Santiago Hernandez,347.0,indefinido,,21-Feb-2023,Femenino
CLI-00180,41.0,1824000.0,0,1550000.0,21.0,0.219,0,Maria Torres,512.0,Independiente,MEDELLIN,08/06/2022,Masculino
CLI-00293,54.0,2560000.0,0,4220000.0,98.0,0.327,0,Valentina Lopez,,Fijo,Cali,05-May-2023,Masculino
CLI-00054,34.0,5485000.0,0,2730000.0,11.0,0.455,2,Andres Munoz,672.0,N/A,Itagui,2021/06/05,
CLI-00278,26.0,,0,7340000.0,1.0,0.413,1,Santiago Torres,420.0,Prestacion de servicios,Envigado,22-Mar-2023,m
CLI-00140,70.0,$2.577.000,0,8570000.0,54.0,0.26,0,Felipe Vargas,693.0,fijo,CALI,11/02/2022,Masculino
CLI-00269,39.0,1046000.0,0,6490000.0,0.0,0.343,2,Natalia Diaz,684.0,Indefinido,bogota,2023/02/24,m
CLI-00444,53.0,3613000.0,0,2.160.000,35.0,0.678,1,Juan Diaz,670.0,Indefinido,MEDELLIN,2024/07/20,m
CLI-00067,34.0,$1.831.000,0,1.060.000,20.0,0.651,0,Daniela Rodriguez,385.0,Fijo,bogota,2021-07-13,M
CLI-00413,31.0,2618000.0,0,3860000.0,44.0,0.486,1,Paula Hernandez,643.0,N/A,CALI,20-Apr-2024,Femenino
CLI-00495,35.0,1877000.0,0,3770000.0,25.0,0.401,1,David Martinez,,,medellin,16/12/2024,m
CLI-00290,37.0,1839000.0,0,5210000.0,218.0,0.481,0,David Martinez,619.0,indefinido,,26/04/2023,Masculino
CLI-00222,41.0,3485000.0,0,1680000.0,34.0,0.124,3,Sofia Diaz,825.0,Fijo,MEDELLIN,2022-10-09,M
CLI-00100,28.0,816000.0,0,3430000.0,20.0,0.707,0,Carlos Vargas,627.0,Fijo,,17/10/2021,
CLI-00279,51.0,2044000.0,0,1480000.0,5.0,-0.5,0,Santiago Ramirez,652.0,N/A,Envigado,2023/03/25,M
CLI-00149,50.0,2153000.0,0,16720000.0,52.0,0.307,0,Paula Rodriguez,512.0,N/A,Bucaramanga,2022/03/10,Femenino
CLI-00016,29.0,2356000.0,0,3600000.0,25.0,0.238,0,Laura Vargas,342.0,N/A,Pereira,13/02/2021,F
CLI-00164,29.0,1671000.0,0,1520000.0,8.0,0.379,0,Andres Martinez,603.0,,Medellin,2022/04/22,f
CLI-00285,26.0,1994000.0,0,3280000.0,29.0,0.714,0,Valentina Diaz,881.0,Fijo,bogota,11/04/2023,Femenino
CLI-00047,48.0,2195000.0,0,6490000.0,,0.26,1,Diego Munoz,574.0,Independiente,Bucaramanga,2021-05-15,M
CLI-00087,33.0,1101000.0,0,10290000.0,3.0,,1,Valentina Ortiz,350.0,,Barranquilla,2021-09-09,F
CLI-00038,29.0,3520000.0,0,5060000.0,69.0,0.176,0,Diego Gonzalez,1500,,medellin,19-Apr-2021,M
CLI-00417,50.0,4066000.0,0,6710000.0,2.0,0.121,1,Sofia Ortiz,629.0,indefinido,Pereira,2024-05-02,Masculino
CLI-00386,29.0,,0,5240000.0,15.0,0.391,0,Isabella Lopez,581.0,Fijo,CALI,01/02/2024,m
CLI-00343,39.0,4765000.0,0,5310000.0,165.0,0.269,0,Paula Rodriguez,10000,Fijo,Cali,28-Sep-2023,M
CLI-00173,33.0,1388000 COP,1,2720000.0,,0.544,1,Carlos Ortiz,411.0,Independiente,Barranquilla,19-May-2022,M
CLI-00074,43.0,1264000.0,0,1510000.0,,0.151,1,Jorge Diaz,675.0,fijo,Bogota,2021/08/02,Femenino
CLI-00425,28.0,1825000.0,1,3910000.0,29.0,0.561,2,Paula Castro,500.0,,Bogota,25/05/2024,F
CLI-00105,28.0,1442000.0,0,22940000.0,39.0,0.291,0,Daniela Diaz,519.0,indefinido,Bucaramanga,01/11/2021,m
CLI-00214,33.0,1971000.0,0,4230000.0,65.0,0.517,0,Daniela Martinez,652.0,N/A,Itagui,2022/09/16,Masculino
CLI-00243,19.0,1190000.0,0,7720000.0,22.0,0.339,1,Laura Vargas,674.0,Independiente,medellin,10-Dec-2022,Masculino
CLI-00017,42.0,2769000.0,0,1110000.0,2.0,0.256,0,Sofia Garcia,645.0,Fijo,CALI,2021-02-16,
CLI-00481,40.0,2500000.0,0,4.590.000,52.0,0.572,2,Valentina Vargas,712.0,Indefinido,Pereira,05/11/2024,Masculino
CLI-00092,37.0,2246000.0,0,1.700.000,26.0,0.289,0,Miguel Munoz,,Prestacion de servicios,Envigado,2021-09-24,Femenino
CLI-00089,43.0,2230000.0,0,3860000.0,17.0,0.493,1,Andres Perez,634.0,Fijo,Envigado,2021/09/15,F
CLI-00381,39.0,2219000.0,0,2020000.0,28.0,0.475,1,Felipe Martinez,447.0,N/A,Bucaramanga,17/01/2024,m
CLI-00141,43.0,939000.0,0,5510000.0,8.0,0.51,0,  SANTIAGO CASTRO  ,472.0,Prestacion de servicios,Bucaramanga,14/02/2022,
CLI-00195,26.0,1311000.0,0,3040000.0,7.0,0.11,0,Diego Perez,533.0,Prestacion de servicios,CALI,22/07/2022,M
